symbol,ratio,type,2020,2021,2022,2023
AMAG,NPM,Profitability,0.1357578512656072,0.1620085240730231,0.1656054395314135,0.1361840964842638
AMAG,ROE,Profitability,0.0534562504496231,0.0803535425837695,0.0998475200408417,0.0868134090716827
AMAG,ROI,Profitability,0.0534562504496231,0.0803535425837695,0.0998475200408417,0.0868134090716827
AMAN,Cash Ratio,Liquidity,0.1912729599695134,0.272001335769426,0.324755288259042,0.1307130465242237
AMAN,Current Ratio,Liquidity,3.032756508973089,2.923735308880981,3.2349955866958986,2.3741040013537957
AMAN,DER,Solvency,0.1576560594566026,0.1661616453256371,0.2264232959863081,0.2140781022986776
AMAN,Debt Ratio,Solvency,0.1153126433931474,0.1187947571477515,0.1524578497075443,0.1392964463806505
AMAN,GPM,Profitability,0.5869278143480217,0.6049818364230872,0.5888709361925184,0.6545645963816812
AMAN,NPM,Profitability,0.2212654409783125,0.3332383343295952,0.2601806845660936,0.3096430307315673
AMAN,Operating Margin,Profitability,0.2841923268064727,0.3783743321578486,0.3309039197121549,0.3863895927765806
AMAN,Quick Ratio,Liquidity,1.2390109068997828,1.215584733817592,1.5461944919394637,0.9503129624599572
AMAN,ROE,Profitability,0.0338879381189657,0.0544051143650242,0.055171055381622,0.0781558585564758
AMAN,ROI,Profitability,0.0292830677926942,0.0467206904106522,0.0450197577776165,0.0645593428907223
AMAR,DER,Solvency,0.0080728449467636,0.0076587518587702,0.0022196342231705,0.0
AMAR,Debt Ratio,Solvency,0.0021227201024295,0.0015699852996232,0.0015649118788132,0.0
AMAR,Free Cash Flow,Liquidity,754558032000.0,492736305000.0,-2704879000000.0,0.0
AMAR,NPM,Profitability,0.0145093514777709,0.0067910852906054,-0.1892271063832378,0.0
AMAR,ROE,Profitability,0.0080467463555584,0.0038581219008378,-0.0489204234369445,0.0
AMAR,ROI,Profitability,0.0080464873898098,0.0,0.0,0.0
AMFG,Cash Ratio,Liquidity,0.0660887943281288,6.484206289057617e-05,6.293259868334934e-05,6.500466213436828e-05
AMFG,Current Ratio,Liquidity,0.8038807802482608,0.9892133931540268,1.2047449165564088,1.4438861555150737
AMFG,DER,Solvency,1.3292705362107176,0.8660210866137381,0.6450137251718469,0.4342594223598398
AMFG,Debt Ratio,Solvency,0.489162745895735,0.3852416081310995,0.3213762234615323,0.2455222630956406
AMFG,GPM,Profitability,0.0804140040750689,0.2308536039067095,0.2596617913132404,0.2542892485328224
AMFG,Interest Coverage Ratio,Solvency,-2.3197778502717195,6.782701362382637,8.660807972047165,5.991888598781549
AMFG,NPM,Profitability,-0.1143872440839972,0.0671151371095075,0.0784975394699742,0.0986371165278474
AMFG,Operating Margin,Profitability,-0.0789550582583048,0.1020448221924421,0.1464102860008324,0.1462645629159398
AMFG,Quick Ratio,Liquidity,0.3301287383014329,0.3333317771238239,0.3714221558996542,0.4418996130402472
AMFG,ROE,Profitability,-0.1471027227794583,0.0967617051110883,0.1175671447449204,0.1375461387961573
AMFG,ROI,Profitability,-0.0636812696211825,0.0522254383667652,0.0719654818422781,0.0964816837686968
AMMN,Cash Ratio,Liquidity,0.0060871831828148,0.2966211813969151,0.0687516603915317,0.0553480080607657
